key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_7.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
f,0,51,51,39,1,61311fd128819c143e3409f9,ROORRRO,ROORRRR,21.82425538,21.38562617,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,3.818,,,,,,,,
j,0,52,52,57,1,61311fd128819c143e3409f9,RRROORO,RRROORR,21.82425538,22.07102821,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.844,,,,,,,,
f,0,53,53,7,1,61311fd128819c143e3409f9,OOORRRO,OOORRRR,21.6194508,21.899017,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.642,,,,,,,,
j,0,54,54,48,1,61311fd128819c143e3409f9,RROOOOO,RROOOOR,20.90986523,22.15934078,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.431,,,,,,,,
j,0,55,55,27,1,61311fd128819c143e3409f9,ORRORRO,ORRORRR,21.55250791,22.2428857,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.476,,,,,,,,
j,0,56,56,51,1,61311fd128819c143e3409f9,RROORRO,RROORRR,21.89852628,22.02786418,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.731,,,,,,,,
f,0,57,57,32,1,61311fd128819c143e3409f9,ROOOOOO,ROOOOOR,19.92253567,21.27974287,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.575,,,,,,,,
j,0,58,58,6,1,61311fd128819c143e3409f9,OOORROO,OOORROR,21.12383932,21.38562617,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,2.315,,,,,,,,
j,0,59,59,37,1,61311fd128819c143e3409f9,ROORORO,ROORORR,20.42602454,21.57657071,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.868,,,,,,,,
j,0,60,60,17,1,61311fd128819c143e3409f9,OROOORO,OROOORR,21.03750787,22.12173012,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.268,,,,,,,,
f,0,61,61,61,1,61311fd128819c143e3409f9,RRRRORO,RRRRORR,21.81333602,21.17347734,series_0,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.265,,,,,,,,
j,0,62,62,34,1,61311fd128819c143e3409f9,ROOOROO,ROOOROR,21.03750787,21.24781509,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.844,,,,,,,,
j,0,63,63,28,1,61311fd128819c143e3409f9,ORRROOO,ORRROOR,22.24142883,22.53364006,series_1,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,1.448,,,,,,,,
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,0,,,0,0,0,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma""]",0,[0.33099999999996044],1,0,1,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma""]",0,[0.7579999999999814],2,0,2,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma""]",0,[0.76400000000001],3,0,3,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma""]",0,[0.8770000000000095],4,0,4,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""period""]",0,[0.4179999999999495],5,0,5,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma""]",0,[0.4830000000000041],6,0,6,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma""]",0,[0.5059999999999718],7,0,7,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma""]",0,[0.5169999999999959],8,0,8,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""period""]",0,[0.4749999999999659],9,0,9,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma""]",0,[0.6059999999999945],10,0,10,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""period""]",0,[0.5],11,0,11,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma""]",0,[0.49799999999999045],12,0,12,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""period""]",0,[0.7660000000000196],13,0,13,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""comma"",""period""]",0,"[0.3919999999999959,0.39999999999997726]",14,0,14,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""period""]",0,[0.3170000000000073],15,0,15,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""period""]",0,[0.4440000000000168],16,0,16,0,1
,,,,,,61311fd128819c143e3409f9,,,,,,61311fd128819c143e3409f9,Mężczyzna,18,2021-09-06_18h37.23.190,rantool2,2021.1.4,MacIntel,55.55555556,6135e006383e6ea6c3d06a28,6136436209486be7c7d370d3,,"[""period""]",0,[0.4519999999999982],17,0,17,0,1
