key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,id,STUDY_ID,SESSION_ID,key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,series_0,series_1,acss_0,acss_1,comparison,key_resp_7.rt
"[""comma""]",0,[0.30209999942778154],51,0,51,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.27340000057219527],52,0,52,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.3066999998092683],53,0,53,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.2568999996185255],54,0,54,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.24250000000000682],55,0,55,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.27239999961852845],56,0,56,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.5510000000000161],57,0,57,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.3355999994277852],58,0,58,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.20740000057219277],59,0,59,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.3176999998092924],60,0,60,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.22689999961852436],61,0,61,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.12049999999999272],62,0,62,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[1.0212000007629456],63,0,63,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[1.0348999996185455],64,0,64,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.7110000000000127],65,0,65,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.2248999996185148],66,0,66,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.2573999996185421],67,0,67,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.2131999998092624],68,0,68,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.07619999980929038],69,0,69,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.26769999980928105],70,0,70,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.2113999996185214],71,0,71,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.28300000000001546],72,0,72,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.16889999961853164],73,0,73,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.25359999942779154],74,0,74,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.25090000057221573],75,0,75,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.23470000076292763],76,0,76,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.3540000000000134],77,0,77,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.23590000057220095],78,0,78,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.234400000572208],79,0,79,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.33499999999997954],80,0,80,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.2063000001907369],81,0,81,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""comma""]",0,[0.26780000019073213],82,0,82,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
"[""period""]",0,[0.30450000000001864],83,0,83,0,1,6093ea19c93f4bb0470b32ec,Kobieta,18,2021-07-13_22h06.31.444,rantool2,2021.1.4,Win32,59.94125757,6093ea19c93f4bb0470b32ec,60d9d14f4a8a35a482e0d9bf,60edf159fb509899abc66964,,,,,,,,,,,,
