key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,43,43,52,1,5f19902fd2b95f025c1b0ff3,RROROOO,RROROOR,22.18365867,22.11097995,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,44,44,10,1,5f19902fd2b95f025c1b0ff3,OOROROO,OOROROR,21.31236711,21.07490964,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,45,45,26,1,5f19902fd2b95f025c1b0ff3,ORROROO,ORROROR,22.02732763,21.71443381,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,46,46,7,1,5f19902fd2b95f025c1b0ff3,OOORRRO,OOORRRR,21.6194508,21.899017,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,47,47,17,1,5f19902fd2b95f025c1b0ff3,OROOORO,OROOORR,21.03750787,22.12173012,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,48,48,61,1,5f19902fd2b95f025c1b0ff3,RRRRORO,RRRRORR,21.81333602,21.17347734,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,49,49,49,1,5f19902fd2b95f025c1b0ff3,RROOORO,RROOORR,21.76276513,22.53364006,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,50,50,46,1,5f19902fd2b95f025c1b0ff3,RORRROO,RORRROR,22.00300695,21.24781509,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,51,51,1,1,5f19902fd2b95f025c1b0ff3,OOOOORO,OOOOORR,19.92253567,20.74050628,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,52,52,27,1,5f19902fd2b95f025c1b0ff3,ORRORRO,ORRORRR,21.55250791,22.2428857,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,53,53,48,1,5f19902fd2b95f025c1b0ff3,RROOOOO,RROOOOR,20.90986523,22.15934078,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
